id,time_observed_at,user_id
23109594,2019-04-26 10:23:56 UTC,1617933
23109649,2019-04-26 10:25:46 UTC,1617933
23110273,2019-04-26 08:39:02 UTC,1670072
23110342,2019-04-26 08:42:51 UTC,783022
23110708,2019-04-26 08:51:49 UTC,1618774
23111135,2019-04-26 11:00:49 UTC,1643902
23111277,2019-04-26 09:04:29 UTC,783022
23111446,2019-04-26 11:05:59 UTC,1137074
23111679,2019-04-26 10:11:08 UTC,1367814
23111723,2019-04-26 11:12:19 UTC,1137074
23111829,2019-04-26 10:15:02 UTC,1367814
23111839,2019-04-26 09:14:58 UTC,1663746
23111857,2019-04-26 09:15:39 UTC,1663808
23111859,2019-04-26 09:15:20 UTC,1669992
23111863,2019-04-26 10:15:31 UTC,1367814
23111877,2019-04-26 09:15:58 UTC,1663746
23111888,2019-04-26 09:16:06 UTC,1670024
23111889,2019-04-26 09:16:17 UTC,1663808
23111903,2019-04-26 10:16:28 UTC,1367814
23111917,2019-04-26 09:16:32 UTC,1669992
23111918,2019-04-26 09:16:39 UTC,1663746
23111921,2019-04-26 09:16:41 UTC,1663808
23111939,2019-04-26 09:16:55 UTC,1670024
23111940,2019-04-26 08:58:05 UTC,353381
23111945,2019-04-26 11:15:48 UTC,1670095
23111955,2019-04-26 09:17:41 UTC,1669992
23111956,2019-04-26 10:17:32 UTC,1367814
23111965,2019-04-26 09:17:51 UTC,1670024
23112003,2019-04-26 10:18:06 UTC,1367814
23112004,2019-04-26 09:18:22 UTC,1669992
23112025,2019-04-26 11:19:07 UTC,1670095
23112026,2019-04-26 09:17:26 UTC,1663808
23112037,2019-04-26 10:18:52 UTC,1367814
23112046,2019-04-26 09:19:28 UTC,1670024
23112059,2019-04-26 11:19:52 UTC,1670095
23112068,2019-04-26 09:13:31 UTC,353381
23112107,2019-04-26 11:20:43 UTC,1670095
23112110,2019-04-26 09:14:20 UTC,353381
23112122,2019-04-26 09:20:41 UTC,1663808
23112129,2019-04-26 09:20:56 UTC,1663746
23112139,2019-04-26 09:14:23 UTC,353381
23112151,2019-04-26 09:21:27 UTC,1663808
23112160,2019-04-26 09:21:42 UTC,1663746
23112166,2019-04-26 10:21:13 UTC,1367814
23112172,2019-04-26 09:22:00 UTC,1669992
23112175,2019-04-26 11:21:53 UTC,1670095
23112190,2019-04-26 09:22:15 UTC,1663746
23112191,2019-04-26 09:22:15 UTC,1663808
23112195,2019-04-26 09:22:27 UTC,1670024
23112200,2019-04-26 10:22:14 UTC,1367814
23112201,2019-04-26 09:22:33 UTC,1669992
23112206,2019-04-26 09:22:41 UTC,842327
23112218,2019-04-26 09:12:48 UTC,353381
23112222,2019-04-26 11:23:29 UTC,1670095
23112224,2019-04-26 09:22:47 UTC,1663808
23112229,2019-04-26 10:22:54 UTC,1367814
23112238,2019-04-26 09:23:39 UTC,1670024
23112243,2019-04-26 09:23:44 UTC,1669992
23112248,2019-04-26 09:23:56 UTC,1663746
23112253,2019-04-26 11:24:12 UTC,1670095
23112259,2019-04-26 10:23:42 UTC,1367814
23112276,2019-04-26 09:24:32 UTC,1670024
23112289,2019-04-26 09:11:08 UTC,353381
23112295,2019-04-26 11:24:53 UTC,1670095
23112301,2019-04-26 10:24:33 UTC,1367814
23112308,2019-04-26 09:25:02 UTC,1663746
23112315,2019-04-26 09:10:50 UTC,353381
23112319,2019-04-26 09:25:01 UTC,1663808
23112325,2019-04-26 11:25:38 UTC,1670095
23112330,2019-04-26 10:25:13 UTC,1367814
23112337,2019-04-26 09:25:46 UTC,1669992
23112338,2019-04-26 09:25:55 UTC,1663746
23112359,2019-04-26 11:26:24 UTC,1670095
23112362,2019-04-26 09:26:21 UTC,1663746
23112374,2019-04-26 09:26:02 UTC,1670024
23112389,2019-04-26 10:26:18 UTC,1367814
23112392,2019-04-26 09:26:20 UTC,1663808
23112417,2019-04-26 09:26:09 UTC,1669992
23112442,2019-04-26 09:27:33 UTC,1670024
23112443,2019-04-26 11:27:51 UTC,1670095
23112457,2019-04-26 09:10:02 UTC,353381
23112484,2019-04-26 09:27:09 UTC,1669992
23112492,2019-04-26 09:27:56 UTC,1663808
23112502,2019-04-26 10:28:08 UTC,1367814
23112508,2019-04-26 09:28:39 UTC,1663746
23112515,2019-04-26 09:28:31 UTC,1670024
23112527,2019-04-26 09:29:08 UTC,1663746
23112541,2019-04-26 11:29:22 UTC,1670095
23112558,2019-04-26 09:29:32 UTC,1670024
23112565,2019-04-26 09:29:26 UTC,1663808
23112568,2019-04-26 10:29:21 UTC,1367814
23112569,2019-04-26 09:27:52 UTC,1669992
23112573,2019-04-26 09:28:39 UTC,1669992
23112581,2019-04-26 09:30:09 UTC,842327
23112593,2019-04-26 09:30:10 UTC,1663746
23112596,2019-04-26 11:30:17 UTC,1670095
23112608,2019-04-26 09:30:22 UTC,1670024
23112613,2019-04-26 09:30:40 UTC,1663808
23112630,2019-04-26 09:30:28 UTC,1663746
23112635,2019-04-26 10:30:05 UTC,1367814
